age,credit_group,estimate,std_error,conf_low,conf_high,gradient
46,women-coded,0.0181815793026497,0.00135251063469589,0.0155306584586458,0.0208325001466537,0.0177370310436248|0.0177370310436248|0.00239425487916699|0.00879908638372659|0.00483081043977512|0.00171287934095611|0.00324499971936415|0.00640037530393848|-0.000181160669827646|0.470940075539142|0.0239668590194906|0.00239425487916699|0.00879908638372659|0.00483081043977512|0.00171287934095611
47,men-coded,0.0159435931872701,0.000935827549754847,0.0141093711897506,0.0177778151847896,0.0156013739852562|0|0.00168615794203108|0.00742341296810336|0.00442417399232927|0.00206762908279249|0.00285419105042607|0.0056294669208887|-0.000160186690086552|0.414340190639657|0.0210699379580065|0|0|0|0
47,women-coded,0.0152541270636788,0.00138994662170967,0.0125298316851279,0.0179784224422298,0.0149407598215038|0.0149407598215038|0.00161476039589944|0.00710908092563408|0.00423683972260406|0.00198007877736618|0.00273330863896475|0.0053910194568675|-0.000153651674378105|0.396826495648646|0.0201744811007984|0.00161476039589944|0.00710908092563408|0.00423683972260406|0.00198007877736618
48,men-coded,0.013248875262454,0.000934704547444244,0.0114168543494633,0.0150808961754447,0.0130122480547873|0|0.00110611789839987|0.0058501085688077|0.00382398708930773|0.00223203449827204|0.00238043331386749|0.0046949658475127|-0.000134447182948055|0.345683456384007|0.0175621033289442|0|0|0|0
48,women-coded,0.0127095602283339,0.00140363428575136,0.00995843702826124,0.0154606834284066,0.012491747686525|0.012491747686525|0.00106187229448618|0.005616099529661|0.00367102453588615|0.00214275132649162|0.00228519655054352|0.00450711275344252|-0.000129231619054183|0.331876056769626|0.0168574615569667|0.00106187229448618|0.005616099529661|0.00367102453588615|0.00214275132649162
49,men-coded,0.0109116423589979,0.000917817695359563,0.00911271967609311,0.0127105650419026,0.0107509532473414|0|0.000703931462623545|0.00449223353244314|0.00326106677919797|0.00229372147307676|0.00196669116585011|0.00387887574729125|-0.00011168897025764|0.285685339497771|0.0145021371311025|0|0|0|0
49,women-coded,0.0105218465649318,0.0013891345457541,0.00779914285525377,0.0132445502746099,0.0103724042643809|0.0103724042643809|0.000679145517310655|0.00433405868079937|0.00314624221580989|0.00221295785046101|0.0018974318922425|0.00374226710562786|-0.000107853986199216|0.275638301863046|0.0139902224540581|0.000679145517310655|0.00433405868079937|0.00314624221580989|0.00221295785046101
50,men-coded,0.00891327592420055,0.000883925967410189,0.00718078102807658,0.0106457708203245,0.00880594896248936|0|0.00043319308158645|0.00335557615164497|0.00274748343276169|0.00226969629649626|0.00161084160228347|0.00317699725511856|-9.19081865697437e-05|0.234053624702237|0.0118729056305243|0|0|0|0
50,women-coded,0.00865974894540145,0.00134741075165673,0.00601882387215426,0.0113006740186486,0.0085584280357867|0.0085584280357867|0.000421016727459007|0.00326125635462882|0.00267025613468464|0.00220589881901422|0.00156555770357803|0.00308768054745925|-8.93772966404247e-05|0.227481289468208|0.0115384898136808|0.000421016727459007|0.00326125635462882|0.00267025613468464|0.00220589881901422
51,men-coded,0.00722675310583389,0.000834874239292633,0.00559039959682033,0.00886310661484746,0.00715614048961331|0|0.000256632547074385|0.00243081100551011|0.00228976097894909|0.00217893595807973|0.00130901574878236|0.00258169002121229|-7.49812401125578e-05|0.190239661332692|0.00964467520817144|0|0|0|0
51,women-coded,0.00708933417800546,0.00128253016865561,0.00457557504744046,0.00960309330857046,0.00702137685508256|0.00702137685508256|0.000251799671751042|0.00238503424547649|0.00224664045718492|0.00213790248067011|0.00128436193132779|0.00253306457341893|-7.35925800852415e-05|0.186659997765782|0.00946274240764468|0.000251799671751042|0.00238503424547649|0.00224664045718492|0.00213790248067011
52,men-coded,0.00582013286480888,0.000774146092401056,0.00430280652370281,0.00733745920591495,0.00577430139633675|0|0.000145436949769993|0.0016986605366365|0.00188995181133398|0.00204025209859628|0.00105622515433091|0.00208310791040777|-6.06993891214209e-05|0.153529186789374|0.00777973509714026|0|0|0|0
52,women-coded,0.00577600360871313,0.00119998563073399,0.00342403177247452,0.00812797544495174,0.0057308635239587|0.0057308635239587|0.000144342882933238|0.00168588215973175|0.00187573442295285|0.00202490405834086|0.00104827889384572|0.00206743554980045|-6.02489054519033e-05|0.152375008243618|0.00772113117326965|0.000144342882933238|0.00168588215973175|0.00187573442295285|0.00202490405834086
53,men-coded,0.0046594274556197,0.000705792402294605,0.00327607434712227,0.00604278056411713,0.0046300365712127|0|7.8123895313162e-05|0.0011343544578118|0.001546761899722|0.00187079631836573|0.000846903726326505|0.00167026757860826|-4.88013166379384e-05|0.123121288328881|0.0062363655781153|0|0|0|0
53,women-coded,0.00468603627184568,0.00110557155783365,0.00251911601849173,0.00685295652519963,0.00465630913287222|0.00465630913287222|7.85671995560395e-05|0.00114079120987158|0.0015555388060721|0.0018814119173725|0.000851709710436996|0.00167974625142863|-4.90752251755419e-05|0.123819550446496|0.00627179217398136|7.85671995560395e-05|0.00114079120987158|0.0015555388060721|0.0018814119173725
54,men-coded,0.0037108044285606,0.000633729871375864,0.00246869388066391,0.0049529149764573,0.00369215404203354|0|3.92318611314071e-05|0.00071114573848584|0.0012566018799275|0.0016851745624888|0.000675341328310329|0.0013319032707832|-3.90009663836939e-05|0.098191828396036|0.00497199187367419|0|0|0|0
54,women-coded,0.00378767769360405,0.00100468904373537,0.00181848716788273,0.00575686821932536,0.00376824731842407|0.00376824731842407|4.00404083421684e-05|0.000725802063388998|0.00128249975771743|0.00171990508897548|0.000689260530903017|0.00135935529222072|-3.97977156596193e-05|0.100214632816337|0.00507455329791306|4.00404083421684e-05|0.000725802063388998|0.00128249975771743|0.00171990508897548
55,men-coded,0.0029421455919166,0.000561339342857837,0.00184192047991524,0.00404237070391796,0.00293041700808208|0|1.80195851047944e-05|0.000402837657360294|0.00101448848588721|0.00149507127972978|0.000536003929633811|0.00105709785391268|-3.10093415361731e-05|0.0779404498948312|0.00394549811098525|0|0|0|0
55,women-coded,0.00305183374183031,0.000901965627893142,0.00128398111115975,0.00481968637250087,0.00303921502001991|0.00303921502001991|1.86886008216494e-05|0.00041779386875738|0.0010521535451924|0.00155057900524848|0.000555905133179785|0.00109634743989084|-3.21525235522498e-05|0.080833148027291|0.00409208828475959|1.86886008216494e-05|0.00041779386875738|0.0010521535451924|0.00155057900524848
