credit_group,scope,age,credited_performer_years,retained_performer_years,forward_continuity_rate,baseline_rate,normalized_continuity
men-coded,film,45,4121,3044,0.738655666100461,0.709431460301674,1.04119383962245
men-coded,film,46,3845,2833,0.736801040312094,0.709431460301674,1.03857959724366
men-coded,film,47,3802,2775,0.729879011046818,0.709431460301674,1.02882244711342
men-coded,film,48,3605,2663,0.73869625520111,0.709431460301674,1.04125105318418
men-coded,film,49,3524,2581,0.732406356413167,0.709431460301674,1.03238494117772
men-coded,film,50,3315,2440,0.73604826546003,0.709431460301674,1.0375185012898
men-coded,film,51,3171,2336,0.736676127404604,0.709431460301674,1.03840352257756
men-coded,film,52,3137,2302,0.733822123047498,0.709431460301674,1.03438057671625
men-coded,film,53,2936,2174,0.740463215258856,0.709431460301674,1.04374172375156
men-coded,film,54,2764,2039,0.737698986975398,0.709431460301674,1.0398453243978
men-coded,film,55,2672,1980,0.741017964071856,0.709431460301674,1.04452368627232
men-coded,film,56,2659,1952,0.734110567882663,0.709431460301674,1.03478716262526
men-coded,film,57,2526,1803,0.713776722090261,0.709431460301674,1.00612499167536
men-coded,film,58,2357,1704,0.722952906236742,0.709431460301674,1.01905955217903
men-coded,film,59,2209,1620,0.733363512901765,0.709431460301674,1.03373412928419
men-coded,film,60,2147,1512,0.704238472286912,0.709431460301674,0.992680070866107
men-coded,film,61,2013,1452,0.721311475409836,0.709431460301674,1.01674582503447
men-coded,film,62,1960,1359,0.693367346938776,0.709431460301674,0.977356356093839
men-coded,film,63,1783,1254,0.703309029725182,0.709431460301674,0.991369947741127
men-coded,film,64,1711,1226,0.716540035067212,0.709431460301674,1.01002010083189
men-coded,film,65,1624,1128,0.694581280788177,0.709431460301674,0.979067492288569
men-coded,film,66,1490,1012,0.679194630872483,0.709431460301674,0.957378786928432
men-coded,film,67,1341,893,0.665920954511559,0.709431460301674,0.938668485646783
men-coded,film,68,1232,821,0.666396103896104,0.709431460301674,0.939338246449812
men-coded,film,69,1157,765,0.661192739844425,0.709431460301674,0.932003691467621
men-coded,film,70,1088,732,0.672794117647059,0.709431460301674,0.948356755085212
men-coded,film,71,926,602,0.650107991360691,0.709431460301674,0.916378857915666
men-coded,film,72,896,576,0.642857142857143,0.709431460301674,0.906158210947931
men-coded,film,73,750,461,0.614666666666667,0.709431460301674,0.866421495327103
men-coded,film,74,700,440,0.628571428571429,0.709431460301674,0.886021361815754
men-coded,film,75,580,352,0.606896551724138,0.709431460301674,0.855468901063487
women-coded,film,18,1142,818,0.716287215411559,0.692286741475106,1.03466840038755
women-coded,film,19,1404,1022,0.727920227920228,0.692286741475106,1.05147214919817
women-coded,film,20,1779,1290,0.725126475548061,0.692286741475106,1.0474366069802
women-coded,film,21,2199,1580,0.718508412914961,0.692286741475106,1.03787689387779
women-coded,film,22,2624,1904,0.725609756097561,0.692286741475106,1.04813470001094
women-coded,film,23,3076,2276,0.739921976592978,0.692286741475106,1.06880853303123
women-coded,film,24,3467,2493,0.719065474473608,0.692286741475106,1.03868156270253
women-coded,film,25,3674,2611,0.710669569951007,0.692286741475106,1.02655377804395
women-coded,film,26,3959,2842,0.717858044960849,0.692286741475106,1.03693744506973
women-coded,film,27,4081,2907,0.712325410438618,0.692286741475106,1.02894562001984
women-coded,film,28,4067,2907,0.714777477255963,0.692286741475106,1.03248760150012
