credit_group,scope,age,performer_years,performers_at_risk,role_years,roles,opportunity_rate,mean_roles,baseline_rate,normalized_retention
men-coded,television,26,10505,10505,3795,5794,0.361256544502618,0.551546882436935,0.357376027909295,1.01085835727714
men-coded,television,27,11771,11771,4239,6773,0.360122334551015,0.575397162518053,0.357376027909295,1.00768464146235
men-coded,television,28,12942,12942,4590,7407,0.354659248956885,0.572322670375522,0.357376027909295,0.992397982124588
men-coded,television,29,14038,14038,4975,8039,0.354395212993304,0.572659923065964,0.357376027909295,0.99165916378491
men-coded,television,30,14863,14863,5299,8453,0.356522909237704,0.5687277131131,0.357376027909295,0.997612826253117
men-coded,television,31,15621,15621,5578,9043,0.357083413353819,0.578900198450803,0.357376027909295,0.999181213812275
men-coded,television,32,16230,16230,5777,9371,0.355945779420826,0.577387553912508,0.357376027909295,0.995997917104747
men-coded,television,33,16683,16683,6011,9838,0.360306899238746,0.589702091949889,0.357376027909295,1.00820108541302
men-coded,television,34,16863,16863,6018,9938,0.356876000711617,0.589337603036233,0.357376027909295,0.998600837329233
men-coded,television,35,16994,16994,6047,9973,0.355831469930564,0.586854183829587,0.357376027909295,0.995678059360145
men-coded,television,36,16973,16973,6070,10065,0.357626819065575,0.59300064808814,0.357376027909295,1.00070175707573
men-coded,television,37,16866,16866,6063,10101,0.359480611881893,0.598897189612238,0.357376027909295,1.00588899033019
men-coded,television,38,16795,16795,6055,10000,0.360523965465913,0.595415302173266,0.357376027909295,1.00880847429816
men-coded,television,39,16573,16573,6060,9930,0.365654980993182,0.599167320340313,0.357376027909295,1.02316594409625
men-coded,television,40,16327,16327,6026,9972,0.369081888895694,0.610767440436088,0.357376027909295,1.03275502572145
men-coded,television,41,16289,16289,5983,9942,0.367303087973479,0.610350543311437,0.357376027909295,1.02777763277033
men-coded,television,42,16048,16048,5979,10003,0.372569790628116,0.623317547357926,0.357376027909295,1.04251477864284
men-coded,television,43,15748,15748,5763,9791,0.365951231902464,0.621729743459487,0.357376027909295,1.0239949054315
men-coded,television,44,15394,15394,5709,9605,0.370858776146551,0.623944393919709,0.357376027909295,1.03772706388879
men-coded,television,45,15081,15081,5480,9308,0.363371129235462,0.617200450898482,0.357376027909295,1.01677533146596
men-coded,television,46,14569,14569,5283,8906,0.362619260072757,0.611297961424944,0.357376027909295,1.01467147137466
men-coded,television,47,14141,14141,5221,8744,0.369210098295736,0.618343822926243,0.357376027909295,1.03311377782016
men-coded,television,48,13635,13635,4928,8344,0.361422808947561,0.611954528786212,0.357376027909295,1.0113235939801
men-coded,television,49,13274,13274,4814,8249,0.362663854150972,0.621440409823716,0.357376027909295,1.01479625332626
men-coded,television,50,12856,12856,4683,8002,0.364265712507778,0.622433105164904,0.357376027909295,1.0192785303446
men-coded,television,51,12461,12461,4503,7549,0.361367466495466,0.605810127598106,0.357376027909295,1.01116873621748
men-coded,television,52,12048,12048,4329,7264,0.359312749003984,0.602921646746348,0.357376027909295,1.00541928093504
men-coded,television,53,11668,11668,4158,6995,0.356359273225917,0.599502913952691,0.357376027909295,0.997154944361193
men-coded,television,54,11246,11246,3994,6588,0.355148497243464,0.585808287391072,0.357376027909295,0.993766983535908
men-coded,television,55,10811,10811,3711,6163,0.343261492923874,0.570067523818333,0.357376027909295,0.960505087406133
men-coded,television,56,10341,10341,3578,5860,0.346001353834252,0.566676336911324,0.357376027909295,0.968171692596209
men-coded,television,57,9884,9884,3363,5516,0.340246863617968,0.558073654390935,0.357376027909295,0.952069632673645
men-coded,television,58,9527,9527,3221,5151,0.338091739267345,0.540673874252126,0.357376027909295,0.946039221615491
men-coded,television,59,9176,9176,3125,4802,0.340562336530078,0.52332170880558,0.357376027909295,0.952952380500788
men-coded,television,60,8748,8748,2935,4528,0.335505258344765,0.517604023776863,0.357376027909295,0.93880180018655
men-coded,television,61,8354,8354,2762,4260,0.330620062245631,0.50993536030644,0.357376027909295,0.925132175708062
men-coded,television,62,7876,7876,2585,3980,0.328212290502793,0.505332656170645,0.357376027909295,0.918394813504661
men-coded,television,63,7519,7519,2426,3715,0.322649288469211,0.494081659795186,0.357376027909295,0.902828570670394
men-coded,television,64,7070,7070,2237,3362,0.316407355021216,0.475530410183876,0.357376027909295,0.885362560192547
men-coded,television,65,6752,6752,2028,3055,0.300355450236967,0.452458530805687,0.357376027909295,0.840446551477145
men-coded,television,66,6397,6397,1921,2789,0.300297014225418,0.435985618258559,0.357376027909295,0.840283037399577
men-coded,television,67,5970,5970,1716,2592,0.287437185929648,0.434170854271357,0.357376027909295,0.804299011355631
men-coded,television,68,5533,5533,1597,2262,0.288631845291885,0.408819808422194,0.357376027909295,0.807641875087219
men-coded,television,69,5171,5171,1441,2102,0.278669502997486,0.406497776058789,0.357376027909295,0.779765516528195
men-coded,television,70,4760,4760,1311,1874,0.275420168067227,0.393697478991597,0.357376027909295,0.770673314823262
men-coded,television,71,4430,4430,1188,1728,0.268171557562077,0.390067720090293,0.357376027909295,0.750390447649558
men-coded,television,72,4149,4149,1103,1527,0.265847192094481,0.368040491684743,0.357376027909295,0.743886470644738
men-coded,television,73,3829,3829,1000,1357,0.261164794985636,0.354400626795508,0.357376027909295,0.730784312852461
men-coded,television,74,3481,3481,884,1208,0.253950014363689,0.347026716460787,0.357376027909295,0.710596107549059
men-coded,television,75,3239,3239,812,1083,0.250694658845323,0.334362457548626,0.357376027909295,0.701487059196234
men-coded,television,76,2964,2964,723,979,0.243927125506073,0.33029689608637,0.357376027909295,0.682550329223492
men-coded,television,77,2699,2699,678,905,0.251204149685069,0.335309373842164,0.357376027909295,0.702912702775986
men-coded,television,78,2393,2393,599,792,0.25031341412453,0.330965315503552,0.357376027909295,0.700420270461066
men-coded,television,79,2088,2088,496,651,0.237547892720307,0.311781609195402,0.357376027909295,0.664700131427389
men-coded,television,80,1849,1849,388,493,0.209843158464035,0.266630611141157,0.357376027909295,0.587177488349316
women-coded,television,19,2018,2018,1143,1735,0.566402378592666,0.859762140733399,0.350863850304213,1.61430816569325
women-coded,television,20,3298,3298,1603,2435,0.486052152819891,0.738326258338387,0.350863850304213,1.38530131388134
women-coded,television,21,4584,4584,1968,2972,0.429319371727749,0.648342059336824,0.350863850304213,1.22360673906848
women-coded,television,22,6016,6016,2413,3766,0.401097074468085,0.625997340425532,0.350863850304213,1.14317013314514
women-coded,television,23,7551,7551,2877,4560,0.381009137862535,0.603893524036552,0.350863850304213,1.08591733668825
women-coded,television,24,8826,8826,3365,5421,0.381259913890777,0.614208021753909,0.350863850304213,1.08663207554785
women-coded,television,25,10157,10157,3824,6242,0.376489120803387,0.614551540809294,0.350863850304213,1.07303479819011
women-coded,television,26,11314,11314,4223,6957,0.373254375110483,0.614901891461906,0.350863850304213,1.06381542238351
women-coded,television,27,12343,12343,4558,7564,0.369278133354938,0.612816981284939,0.350863850304213,1.05248270243503
women-coded,television,28,13201,13201,4805,7983,0.363987576698735,0.60472691462768,0.350863850304213,1.03740404257419
women-coded,television,29,13783,13783,4894,8146,0.35507509250526,0.591017920626859,0.350863850304213,1.01200249668752
women-coded,television,30,14085,14085,4990,8271,0.35427760028399,0.587220447284345,0.350863850304213,1.00972955742467
women-coded,television,31,14192,14192,4943,8241,0.348294813979707,0.580679255918828,0.350863850304213,0.992677968042935
women-coded,television,32,14121,14121,4983,8102,0.352878691310814,0.573755399759224,0.350863850304213,1.00574251523733
women-coded,television,33,13841,13841,4859,7894,0.351058449533993,0.570334513402211,0.350863850304213,1.00055462889554
women-coded,television,34,13449,13449,4676,7673,0.347683842664882,0.570525689642353,0.350863850304213,0.990936633578598
women-coded,television,35,13085,13085,4537,7318,0.346732900267482,0.559266335498663,0.350863850304213,0.988226344682846
women-coded,television,36,12632,12632,4408,6959,0.348955034832172,0.550902469917669,0.350863850304213,0.994559669027215
women-coded,television,37,12108,12108,4125,6496,0.340683845391477,0.536504790221341,0.350863850304213,0.970985882689511
women-coded,television,38,11598,11598,4023,6282,0.346870150025867,0.541645111226074,0.350863850304213,0.988617521369375
women-coded,television,39,11106,11106,3847,5941,0.346389339095984,0.534936070592473,0.350863850304213,0.987247158108909
women-coded,television,40,10560,10560,3645,5659,0.345170454545455,0.535890151515152,0.350863850304213,0.983773205037162
women-coded,television,41,10045,10045,3553,5483,0.35370831259333,0.545843703334993,0.350863850304213,1.00810702580688
women-coded,television,42,9657,9657,3497,5296,0.362120741431086,0.548410479444962,0.350863850304213,1.03208335973373
women-coded,television,43,9294,9294,3276,5028,0.352485474499677,0.540994189799871,0.350863850304213,1.00462180470874
women-coded,television,44,8825,8825,3124,4749,0.35399433427762,0.538130311614731,0.350863850304213,1.00892221860614
women-coded,television,45,8379,8379,3034,4635,0.362095715479174,0.553168635875403,0.350863850304213,1.03201203305847
women-coded,television,46,8022,8022,2841,4248,0.354151084517577,0.529543754674645,0.350863850304213,1.00936897377861
women-coded,television,47,7655,7655,2663,3981,0.347877204441541,0.520052253429131,0.350863850304213,0.991487735598632
women-coded,television,48,7213,7213,2562,3916,0.355192014418411,0.542908637182864,0.350863850304213,1.012335736812
women-coded,television,49,6901,6901,2442,3686,0.353861759165338,0.534125489059557,0.350863850304213,1.00854436516765
women-coded,television,50,6642,6642,2316,3415,0.348690153568202,0.51415236374586,0.350863850304213,0.993804728717062
women-coded,television,51,6304,6304,2230,3317,0.353743654822335,0.52617385786802,0.350863850304213,1.00820775498993
women-coded,television,52,6006,6006,2129,3204,0.354478854478854,0.533466533466534,0.350863850304213,1.01030315369197
women-coded,television,53,5813,5813,2025,2955,0.348357130569413,0.508343368312403,0.350863850304213,0.992855577077472
women-coded,television,54,5505,5505,1895,2777,0.344232515894641,0.504450499545867,0.350863850304213,0.981099978228529
women-coded,television,55,5217,5217,1795,2534,0.344067471727046,0.485719762315507,0.350863850304213,0.980629584463392
women-coded,television,56,4939,4939,1614,2322,0.326786798947155,0.470135654990889,0.350863850304213,0.931377794160949
women-coded,television,57,4701,4701,1555,2221,0.330780684960647,0.472452669644757,0.350863850304213,0.942760802156867
women-coded,television,58,4418,4418,1443,2065,0.326618379357175,0.467406066093255,0.350863850304213,0.930897780076186
women-coded,television,59,4220,4220,1370,1970,0.324644549763033,0.466824644549763,0.350863850304213,0.92527215180918
women-coded,television,60,4002,4002,1300,1787,0.324837581209395,0.446526736631684,0.350863850304213,0.925822312352065
women-coded,television,61,3781,3781,1246,1774,0.329542449087543,0.469188045490611,0.350863850304213,0.939231695718486
women-coded,television,62,3567,3567,1136,1607,0.31847490888702,0.450518643117466,0.350863850304213,0.907688006646707
women-coded,television,63,3376,3376,1081,1524,0.320201421800948,0.451421800947867,0.350863850304213,0.912608755570916
women-coded,television,64,3240,3240,1025,1427,0.316358024691358,0.440432098765432,0.350863850304213,0.901654657261108
women-coded,television,65,3072,3072,1005,1370,0.3271484375,0.445963541666667,0.350863850304213,0.932408503230952
women-coded,television,66,2915,2915,911,1247,0.312521440823328,0.42778730703259,0.350863850304213,0.890719977428165
women-coded,television,67,2758,2758,833,1159,0.302030456852792,0.420232052211748,0.350863850304213,0.860819536099029
women-coded,television,68,2625,2625,779,1043,0.296761904761905,0.397333333333333,0.350863850304213,0.845803591634192
women-coded,television,69,2463,2463,718,953,0.291514413317093,0.386926512383272,0.350863850304213,0.830847672293222
women-coded,television,70,2394,2394,703,932,0.293650793650794,0.389306599832916,0.350863850304213,0.836936587785224
women-coded,television,71,2252,2252,650,832,0.288632326820604,0.369449378330373,0.350863850304213,0.822633413417621
women-coded,television,72,2106,2106,608,797,0.288698955365622,0.378442545109212,0.350863850304213,0.822823311992126
women-coded,television,73,2014,2014,567,745,0.281529294935452,0.369910625620655,0.350863850304213,0.802389002718161
women-coded,television,74,1900,1900,489,623,0.257368421052632,0.327894736842105,0.350863850304213,0.733527893596
women-coded,television,75,1733,1733,447,583,0.257934218118869,0.336410848240046,0.350863850304213,0.735140476555877
women-coded,television,76,1603,1603,427,540,0.266375545851528,0.33686837180287,0.350863850304213,0.75919917546527
women-coded,television,77,1491,1491,388,499,0.260228034875922,0.334674714956405,0.350863850304213,0.741678102917397
women-coded,television,78,1396,1396,328,428,0.234957020057307,0.306590257879656,0.350863850304213,0.669652971811115
women-coded,television,79,1278,1278,288,365,0.225352112676056,0.285602503912363,0.350863850304213,0.642277944794447
women-coded,television,80,1169,1169,282,347,0.241231822070145,0.296834901625321,0.350863850304213,0.687536837610907
