credit_group,scope,age,performer_years,performers_at_risk,role_years,roles,opportunity_rate,mean_roles,baseline_rate,normalized_retention
men-coded,film,44,14323,14323,3899,6363,0.272219507086504,0.444250506178873,0.254429894686769,1.06991950541675
men-coded,film,45,13858,13858,3888,6333,0.280559965362967,0.456992350988599,0.254429894686769,1.1027004735759
men-coded,film,46,13490,13490,3673,6226,0.27227575982209,0.461527057079318,0.254429894686769,1.07014059867961
men-coded,film,47,13143,13143,3638,6065,0.276801339115879,0.461462375408963,0.254429894686769,1.08792773528697
men-coded,film,48,12845,12845,3491,5918,0.271778902296613,0.460724017127287,0.254429894686769,1.06818777184655
men-coded,film,49,12515,12515,3464,5903,0.276787854574511,0.471673991210547,0.254429894686769,1.08787473624224
men-coded,film,50,12172,12172,3277,5662,0.269224449556359,0.465165954650017,0.254429894686769,1.05814786382631
men-coded,film,51,11771,11771,3242,5487,0.275422648882848,0.466145612097528,0.254429894686769,1.08250899219969
men-coded,film,52,11359,11359,3088,5413,0.271854916806057,0.476538427678493,0.254429894686769,1.06848653591096
men-coded,film,53,11020,11020,2946,5130,0.267332123411978,0.46551724137931,0.254429894686769,1.05071034888056
men-coded,film,54,10632,10632,2839,4970,0.267024078254327,0.467456734386757,0.254429894686769,1.04949962182338
men-coded,film,55,10095,10095,2694,4727,0.266864784546805,0.468251609707776,0.254429894686769,1.04887354088381
men-coded,film,56,9651,9651,2678,4687,0.27748419852865,0.485649155527925,0.254429894686769,1.09061161570759
men-coded,film,57,9262,9262,2509,4404,0.270891816022457,0.475491254588642,0.254429894686769,1.06470120720662
men-coded,film,58,8873,8873,2385,4283,0.26879296742928,0.482700326834216,0.254429894686769,1.05645198556637
men-coded,film,59,8602,8602,2275,4052,0.26447337828412,0.47105324343176,0.254429894686769,1.03947446352448
men-coded,film,60,8242,8242,2229,3877,0.270444066974035,0.470395535064305,0.254429894686769,1.06294139415882
men-coded,film,61,7910,7910,2045,3579,0.258533501896334,0.452465233881163,0.254429894686769,1.01612863619905
men-coded,film,62,7536,7536,1997,3424,0.264994692144374,0.454352441613588,0.254429894686769,1.0415234124536
men-coded,film,63,7151,7151,1814,3128,0.253670815270592,0.437421339672773,0.254429894686769,0.997016547850589
men-coded,film,64,6808,6808,1775,3017,0.26072267920094,0.443155111633373,0.254429894686769,1.02473288180981
men-coded,film,65,6538,6538,1620,2777,0.247782196390333,0.424747629244417,0.254429894686769,0.973872180764687
men-coded,film,66,6248,6248,1526,2602,0.244238156209987,0.416453265044814,0.254429894686769,0.95994284205742
men-coded,film,67,5987,5987,1407,2425,0.235009186570904,0.405044262568899,0.254429894686769,0.923669708153696
men-coded,film,68,5545,5545,1309,2190,0.236068530207394,0.394950405770965,0.254429894686769,0.927833305508459
men-coded,film,69,5201,5201,1192,1967,0.229186694866372,0.378196500672948,0.254429894686769,0.900785244393257
men-coded,film,70,4959,4959,1114,1863,0.224642064932446,0.375680580762251,0.254429894686769,0.882923231992863
men-coded,film,71,4629,4629,999,1601,0.215813350615684,0.345863037373083,0.254429894686769,0.848223243897394
men-coded,film,72,4291,4291,928,1431,0.216266604521091,0.333488697273363,0.254429894686769,0.850004692991515
men-coded,film,73,3976,3976,828,1243,0.208249496981891,0.312625754527163,0.254429894686769,0.818494608262402
men-coded,film,74,3680,3680,782,1181,0.2125,0.320923913043478,0.254429894686769,0.835200597247468
men-coded,film,75,3385,3385,696,992,0.205612998522895,0.293057607090103,0.254429894686769,0.808132231379599
men-coded,film,76,3045,3045,577,866,0.189490968801314,0.28440065681445,0.254429894686769,0.744766919133452
men-coded,film,77,2821,2821,544,838,0.19283941864587,0.297057780928749,0.254429894686769,0.757927518239461
men-coded,film,78,2530,2530,469,692,0.185375494071146,0.273517786561265,0.254429894686769,0.728591639356545
men-coded,film,79,2245,2245,385,558,0.171492204899777,0.248552338530067,0.254429894686769,0.674025373908608
men-coded,film,80,1984,1984,358,500,0.180443548387097,0.252016129032258,0.254429894686769,0.709207338269909
women-coded,film,19,1316,1316,435,711,0.330547112462006,0.540273556231003,0.254360442740806,1.29952247645219
women-coded,film,20,2496,2496,789,1294,0.316105769230769,0.518429487179487,0.254360442740806,1.24274736206872
women-coded,film,21,3746,3746,1181,1846,0.315269620928991,0.492792311799253,0.254360442740806,1.23946010445599
women-coded,film,22,5108,5108,1560,2431,0.305403288958497,0.475920125293657,0.254360442740806,1.20067132163983
women-coded,film,23,6583,6583,1882,2952,0.285887893057876,0.448427768494607,0.254360442740806,1.12394792986423
women-coded,film,24,7863,7863,2250,3526,0.286150324303701,0.448429352664378,0.254360442740806,1.12497965965285
women-coded,film,25,9155,9155,2631,3990,0.287383943200437,0.435827416712179,0.254360442740806,1.12982954465637
women-coded,film,26,10295,10295,2881,4395,0.279844584749879,0.426906265177271,0.254360442740806,1.1001890928262
women-coded,film,27,11324,11324,3049,4663,0.269251148004239,0.4117802896503,0.254360442740806,1.05854174927116
women-coded,film,28,12259,12259,3285,4954,0.267966392038502,0.40411126519292,0.254360442740806,1.05349082251583
women-coded,film,29,12866,12866,3355,5065,0.260764806466656,0.393673247318514,0.254360442740806,1.0251783007485
women-coded,film,30,13182,13182,3461,5107,0.26255499924139,0.387422242451828,0.254360442740806,1.03221631639057
