scope,age,women_retention,men_retention,retention_ratio
overall,57,0.93390144650161,0.980379135744624,0.952592127322546
overall,58,0.912168584894547,0.971939880293455,0.9385030940588
overall,59,0.897666048724666,0.962199455357187,0.932931362335302
overall,60,0.89720195986359,0.976055678504848,0.919211864263677
overall,61,0.921689549688168,0.94846191474271,0.971772862316981
overall,62,0.862838989927462,0.943795752068387,0.914222158805543
overall,63,0.896273655420397,0.916945078533209,0.977456203651936
overall,64,0.861066601292825,0.913160334920881,0.942952259711796
overall,65,0.888863536739542,0.872901640130728,1.01828601972431
overall,66,0.853647438129853,0.871015523006791,0.980059959417276
overall,67,0.828572245503801,0.832253447399962,0.995576825896412
overall,68,0.838674559967547,0.841609510756413,0.996512692939713
overall,69,0.802237728466018,0.80142976158592,1.00100815682025
overall,70,0.818257997907371,0.797037359005982,1.02662439678844
overall,71,0.77677350295566,0.771619891041789,1.00667895161038
overall,72,0.79539414698223,0.768253642046393,1.03532753175571
overall,73,0.790545910005068,0.752781027118156,1.05016715555583
overall,74,0.716576707394213,0.740836310075821,0.967253761253785
overall,75,0.720814262952968,0.721994770506984,0.998364936143253
overall,76,0.72015399316858,0.699210731879726,1.02995271716232
overall,77,0.688110598043934,0.702793951061029,0.979107172173399
overall,78,0.676565658707662,0.672301172856953,1.00634311826735
overall,79,0.667295251319248,0.639100837632826,1.04411575142172
overall,80,0.665862795934372,0.612386610953228,1.08732422300661
television,19,1.61430816569325,1.53988021227939,1.04833359947115
television,20,1.38530131388134,1.29094226732651,1.07309315756641
television,21,1.22360673906848,1.13256057595091,1.08038966307928
television,22,1.14317013314514,1.05598486499085,1.08256299028969
television,23,1.08591733668825,1.00172158049085,1.08405105553994
television,24,1.08663207554785,0.998072219153171,1.08873091014378
television,25,1.07303479819011,1.00789308945942,1.06463156599837
television,26,1.06381542238351,1.01085835727714,1.05238821514918
television,27,1.05248270243503,1.00768464146235,1.04445642925318
television,28,1.03740404257419,0.992397982124588,1.04535081818007
television,29,1.01200249668752,0.99165916378491,1.02051444049079
television,30,1.00972955742467,0.997612826253117,1.01214572512772
television,31,0.992677968042935,0.999181213812275,0.99349142509943
television,32,1.00574251523733,0.995997917104747,1.00978375352522
television,33,1.00055462889554,1.00820108541302,0.992415742625046
television,34,0.990936633578598,0.998600837329233,0.992325057756678
television,35,0.988226344682846,0.995678059360145,0.992515939658158
television,36,0.994559669027215,1.00070175707573,0.993862219182607
television,37,0.970985882689511,1.00588899033019,0.965301233062291
television,38,0.988617521369375,1.00880847429816,0.979985345639733
