scope,age,women_roles,men_roles,women_share,classification_threshold,prominence
television,62,525,1225,0.3,0.9,top-3
television,65,446,950,0.319484240687679,0.9,top-3
film,62,391,1464,0.21078167115903,0.9,top-3
film,31,3088,3307,0.482877247849883,0.9,top-3
film,54,725,2077,0.258743754461099,0.9,top-3
film,35,2516,3581,0.412661964900771,0.9,top-3
film,30,3179,3048,0.510518708848563,0.9,top-3
film,32,2943,3373,0.465959468017733,0.9,top-3
film,52,769,2278,0.252379389563505,0.9,top-3
film,22,1903,1304,0.593389460555036,0.9,top-3
film,55,599,1940,0.235919653406853,0.9,top-3
film,44,1279,3066,0.294361334867664,0.9,top-3
film,26,2890,2332,0.553427805438529,0.9,top-3
film,67,307,1075,0.222141823444284,0.9,top-3
film,37,2124,3463,0.380168247717917,0.9,top-3
film,64,358,1251,0.222498446239901,0.9,top-3
film,65,314,1181,0.210033444816054,0.9,top-3
overall,60,1089,3060,0.262472885032538,0.9,top-3
